SL,State,Pornography_I,Pornography_V,Pornography_R,POCSO_Other_I,POCSO_Other_V,POCSO_Other_R,Sec377_I,Sec377_V,Sec377_R
1,Andhra Pradesh,1,2,0.0,0,0,0.0,0,0,0.0
2,Arunachal Pradesh,1,1,0.1,0,0,0.0,0,0,0.0
3,Assam,2,2,0.0,8,8,0.0,0,0,0.0
4,Bihar,164,165,0.3,0,0,0.0,0,0,0.0
5,Chhattisgarh,4,4,0.0,14,14,0.1,1,1,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,9,9,0.0,84,84,0.3,0,0,0.0
8,Haryana,3,3,0.0,21,21,0.2,3,3,0.0
9,Himachal Pradesh,6,6,0.2,0,0,0.0,0,0,0.0
10,Jammu & Kashmir,0,0,0.0,3,3,0.0,1,1,0.0
11,Jharkhand,32,32,0.2,13,13,0.1,0,0,0.0
12,Karnataka,22,22,0.1,21,21,0.1,2,2,0.0
13,Kerala,71,71,0.4,4,4,0.0,0,0,0.0
14,Madhya Pradesh,9,9,0.0,0,0,0.0,2,2,0.0
15,Maharashtra,18,18,0.0,6,6,0.0,7,7,0.0
16,Manipur,1,1,0.1,0,0,0.0,0,0,0.0
17,Meghalaya,0,0,0.0,7,7,0.4,0,0,0.0
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
19,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
20,Odisha,542,542,2.4,1,1,0.0,0,0,0.0
21,Punjab,0,0,0.0,0,0,0.0,5,5,0.0
22,Rajasthan,157,157,0.4,389,389,1.0,0,0,0.0
23,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
24,Tamil Nadu,8,8,0.0,26,28,0.1,0,0,0.0
25,Telangana,3,3,0.0,2,2,0.0,0,0,0.0
26,Tripura,0,0,0.0,2,2,0.1,0,0,0.0
27,Uttar Pradesh,1,1,0.0,308,310,0.3,13,13,0.0
28,Uttarakhand,0,0,0.0,12,12,0.2,0,0,0.0
29,West Bengal,21,21,0.0,28,28,0.1,0,0,0.0
30,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
31,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0
33,Daman & Diu,1,1,0.8,0,0,0.0,0,0,0.0
34,Delhi,3,3,0.0,2,2,0.0,2,2,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
