SL,State,Obscene_Acts_Public,Religion_Offences,Cheating_Impersonation,Mischief,Arson,Criminal_Trespass,Cruelty_Relatives
1,Andhra Pradesh,0,0,0,0,1,5,0
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,0,0
5,Chhattisgarh,5,1,0,0,0,2,2
6,Goa,0,0,0,0,0,0,0
7,Gujarat,0,0,0,5,7,17,5
8,Haryana,0,0,0,0,2,23,1
9,Himachal Pradesh,0,0,0,0,0,8,0
10,Jharkhand,0,0,0,0,0,0,0
11,Karnataka,0,7,0,1,0,0,5
12,Kerala,0,0,0,0,2,0,0
13,Madhya Pradesh,106,2,2,0,9,22,5
14,Maharashtra,12,6,0,0,12,26,13
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,1,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,4
20,Punjab,0,0,0,0,1,3,0
21,Rajasthan,0,0,0,1,3,37,4
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,11,0,0,4,3,3,1
24,Telangana,1,0,0,1,1,1,12
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,22,0,0,0,0,10,0
27,Uttarakhand,0,0,0,0,0,1,1
28,West Bengal,0,0,0,0,1,0,10
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,1,1,1
33,Jammu & Kashmir,0,0,0,0,0,16,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0
