SL,State,Preparation_Dacoity,Criminal_Misappropriation,Criminal_Breach_Trust,Receiving_Stolen_Property,Counterfeiting,Forgery_Cheating
1,Andhra Pradesh,0,0,0,4,0,2
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,0,1
4,Bihar,8,0,0,16,0,11
5,Chhattisgarh,0,0,2,2,0,5
6,Goa,0,0,0,0,0,0
7,Gujarat,3,0,2,0,0,13
8,Haryana,0,0,5,11,0,8
9,Himachal Pradesh,0,0,0,0,0,4
10,Jammu & Kashmir,0,0,0,0,0,1
11,Jharkhand,0,0,0,0,0,0
12,Karnataka,11,0,0,0,0,2
13,Kerala,0,0,0,0,0,0
14,Madhya Pradesh,20,0,0,0,2,10
15,Maharashtra,19,0,3,0,1,15
16,Manipur,0,0,0,0,0,0
17,Meghalaya,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,2
21,Punjab,0,0,0,7,0,2
22,Rajasthan,0,0,1,1,0,7
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,3,0,0,0,1,2
25,Telangana,0,0,0,0,0,8
26,Tripura,0,0,0,0,1,0
27,Uttar Pradesh,0,0,0,17,0,7
28,Uttarakhand,0,0,2,0,0,1
29,West Bengal,11,0,1,1,6,2
30,A&N Islands,0,0,0,0,0,0
31,Chandigarh,0,0,0,3,0,1
32,D&N Haveli,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0
34,Delhi,0,0,0,0,0,6
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
