SL,State,Attempt_Murder,Attempt_Culpable_Homicide,Attempt_Suicide,Miscarriage_Infanticide_Foeticide,Hurt,Wrongful_Restraint
1,Andhra Pradesh,16,0,1,0,59,2
2,Arunachal Pradesh,0,0,0,0,6,0
3,Assam,1,0,0,0,7,0
4,Bihar,50,1,0,0,426,0
5,Chhattisgarh,34,0,0,1,635,7
6,Goa,1,0,0,0,0,0
7,Gujarat,74,3,0,1,339,1
8,Haryana,34,0,0,1,202,8
9,Himachal Pradesh,2,0,0,0,22,9
10,Jammu & Kashmir,6,0,0,0,30,9
11,Jharkhand,0,0,0,0,0,0
12,Karnataka,25,0,0,0,44,0
13,Kerala,5,9,0,0,78,0
14,Madhya Pradesh,128,2,0,5,1586,18
15,Maharashtra,201,0,1,2,1046,11
16,Manipur,0,0,0,0,0,0
17,Meghalaya,1,0,0,0,2,0
18,Mizoram,0,0,0,0,0,1
19,Nagaland,0,0,0,0,0,0
20,Odisha,53,0,0,0,1,0
21,Punjab,10,0,0,0,33,0
22,Rajasthan,87,19,0,0,604,1
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,100,0,0,0,496,10
25,Telangana,45,0,0,0,193,1
26,Tripura,2,0,0,0,1,0
27,Uttar Pradesh,25,7,0,0,9,0
28,Uttarakhand,0,0,0,0,1,0
29,West Bengal,34,0,0,0,42,0
30,A&N Islands,0,0,0,0,0,0
31,Chandigarh,1,1,0,0,5,0
32,D&N Haveli,0,0,0,0,1,0
33,Daman & Diu,0,0,0,0,0,0
34,Delhi,59,29,0,0,187,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
