SL,State,Information_Technology_Act,Lotteries_Act,Mines_Minerals_Act,Prohibition_Act,Excise_Act,NDPS_Act
1,Andhra Pradesh,0,0,0,15,28,28
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,0,3
4,Bihar,0,0,0,74,0,0
5,Chhattisgarh,0,0,0,0,21,10
6,Goa,0,0,0,0,0,0
7,Gujarat,5,0,0,89,0,1
8,Haryana,1,0,0,0,6,28
9,Himachal Pradesh,1,0,1,0,1,12
10,Jharkhand,0,0,0,0,0,0
11,Karnataka,0,0,0,0,0,7
12,Kerala,2,0,0,1,0,6
13,Madhya Pradesh,0,0,0,0,93,16
14,Maharashtra,3,0,0,78,0,8
15,Manipur,0,0,0,0,0,3
16,Meghalaya,0,0,0,0,0,1
17,Mizoram,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,4,0
20,Punjab,1,0,0,0,4,15
21,Rajasthan,2,0,5,0,28,22
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,5,1,26,13,0,44
24,Telangana,2,0,0,0,0,13
25,Tripura,0,0,0,0,0,1
26,Uttar Pradesh,9,0,0,0,3,12
27,Uttarakhand,0,0,0,0,1,2
28,West Bengal,0,0,0,0,3,24
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,1,0
31,D&N Haveli and Daman,0,0,0,0,0,0
32,Delhi,1,0,0,0,43,1
33,Jammu & Kashmir,0,0,0,0,1,5
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,2
