SL,State,Damage_Public_Property,Official_Secrets_Act,Unlawful_Activities_Act,Arms_Act,Explosives_Act,Explosive_Substances_Act
1,Andhra Pradesh,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,1,0,1,0
3,Assam,0,0,0,0,0,0
4,Bihar,1,1,0,0,0,174
5,Chhattisgarh,0,0,0,0,0,4
6,Goa,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,4
8,Haryana,0,0,0,0,0,35
9,Himachal Pradesh,0,0,0,0,0,1
10,Jharkhand,0,0,0,0,0,5
11,Karnataka,0,0,0,0,0,8
12,Kerala,0,0,2,0,2,0
13,Madhya Pradesh,0,0,0,0,0,74
14,Maharashtra,0,0,0,0,0,29
15,Manipur,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,0,0,0,0,3
21,Rajasthan,0,0,1,0,1,72
22,Sikkim,0,0,1,0,1,0
23,Tamil Nadu,0,0,21,0,21,18
24,Telangana,0,0,0,0,0,2
25,Tripura,0,0,0,0,0,0
26,Uttar Pradesh,0,0,0,0,0,31
27,Uttarakhand,0,0,0,0,0,2
28,West Bengal,0,0,2,0,2,5
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,4
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0
32,Delhi,0,0,0,0,0,27
33,Jammu & Kashmir,0,0,0,8,8,6
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
