SL,State,Motor_Vehicle_Act,City_Police_Acts,Defacement_Public_Property,Other_State_Local_Acts,Other_SLL_Crimes,Total_SLL_Crimes
1,Andhra Pradesh,0,0,0,0,0,14
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,0,15
4,Bihar,0,0,0,0,0,148
5,Chhattisgarh,0,0,0,0,1,142
6,Goa,0,0,0,1,0,1
7,Gujarat,0,1,0,18,4,239
8,Haryana,0,0,0,0,16,184
9,Himachal Pradesh,0,0,0,0,1,21
10,Jammu & Kashmir,0,0,0,0,5,13
11,Jharkhand,0,0,0,0,0,0
12,Karnataka,0,0,0,2,0,47
13,Kerala,0,1,0,5,1,52
14,Madhya Pradesh,0,0,0,1,7,685
15,Maharashtra,1,1,9,20,12,447
16,Manipur,0,0,0,0,0,2
17,Meghalaya,0,0,0,0,0,48
18,Mizoram,0,0,0,0,0,6
19,Nagaland,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,4
21,Punjab,0,0,0,0,2,42
22,Rajasthan,0,0,0,1,6,93
23,Sikkim,0,0,0,0,0,3
24,Tamil Nadu,1,3,38,41,16,349
25,Telangana,0,0,0,0,2,71
26,Tripura,0,0,0,0,0,14
27,Uttar Pradesh,0,0,0,1,15,157
28,Uttarakhand,0,0,0,0,8,14
29,West Bengal,0,0,0,0,7,127
30,A&N Islands,0,0,0,0,1,10
31,Chandigarh,0,0,0,0,0,3
32,D&N Haveli,0,0,0,0,0,5
33,Daman & Diu,0,0,0,0,0,3
34,Delhi,0,0,0,0,7,150
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
